Rank,Company Name,Revenue ($millions),Market Value (As of 31/03/2023) ($m),Number of Emoloyees
1,Walmart,"$6,11,289","$3,97,475","21,00,000"
2,Amazon,"$5,13,983","$10,58,440","15,41,000"
3,Exxon Mobil,"$4,13,680","$4,46,424","62,000"
4,Apple,"$3,94,328","$26,09,039","1,64,000"
5,UnitedHealth Group,"$3,24,162","$4,40,854","4,00,000"
6,CVS Health,"$3,22,467","$95,422","2,59,500"
7,Berkshire Hathaway,"$3,02,089","$6,75,657","3,83,000"
8,Alphabet,"$2,82,836","$13,30,201","1,90,234"
9,McKesson,"$2,63,966","$48,757","66,500"
10,Chevron,"$2,46,252","$3,11,093","43,846"
11,AmerisourceBergen,"$2,38,587","$32,384","41,500"
12,Costco Wholesale,"$2,26,954","$2,20,354","3,04,000"
13,Microsoft,"$1,98,270","$21,46,049","2,21,000"
14,Cardinal Health,"$1,81,364","$19,452","46,035"
15,Cigna,"$1,80,516","$75,901","70,231"
16,Marathon Petroleum,"$1,80,012","$59,544","17,800"
17,Phillips 66,"$1,75,702","$46,727","13,000"
18,Valero Energy,"$1,71,189","$51,351","9,743"
19,Ford Motor,"$1,58,057","$50,400","1,73,000"
20,Home Depot,"$1,57,403","$2,99,534","4,71,600"
21,General Motors,"$1,56,735","$51,155","1,67,000"
22,Elevance Health,"$1,56,595","$1,09,098","1,02,300"
23,JPMorgan Chase,"$1,54,792","$3,83,549","2,93,723"
24,Kroger,"$1,48,258","$35,421","4,30,000"
25,Centene,"$1,44,547","$34,810","74,300"
26,Verizon Communications,"$1,36,835","$1,63,333","1,17,100"
27,Walgreens Boots Alliance,"$1,32,703","$29,836","2,62,500"
28,Fannie Mae,"$1,21,596",$475,"8,000"
29,Comcast,"$1,21,427","$1,59,831","1,86,000"
30,AT&T,"$1,20,741","$1,37,250","1,60,700"
31,Meta Platforms,"$1,16,609","$5,49,484","86,482"
32,Bank of America,"$1,15,053","$2,28,780","2,16,823"
33,Target,"$1,09,120","$76,250","4,40,000"
34,Dell Technologies,"$1,02,301","$29,402","1,33,000"
35,Archer Daniels Midland,"$1,01,556","$43,530","41,181"
36,Citigroup,"$1,01,078","$91,270","2,38,104"
37,UPS,"$1,00,338","$1,66,189","4,04,700"
38,Pfizer,"$1,00,330","$2,30,292","83,000"
39,Lowe's,"$97,059","$1,19,253","2,44,500"
40,Johnson & Johnson,"$94,943","$4,83,576","1,52,700"
41,FedEx,"$93,512","$57,431","4,64,400"
42,Humana,"$92,870","$60,719","67,100"
43,Energy Transfer,"$89,876","$38,590","12,565"
44,State Farm Insurance,"$89,328",-,"60,519"
45,Freddie Mac,"$86,717",$266,"7,819"
46,PepsiCo,"$86,392","$2,51,085","3,15,000"
47,Wells Fargo,"$82,859","$1,41,188","2,38,000"
48,Walt Disney,"$82,722","$1,82,920","1,95,800"
49,ConocoPhillips,"$82,156","$1,20,777","9,500"
50,Tesla,"$81,462","$6,56,425","1,27,855"
51,Procter & Gamble,"$80,187","$3,50,781","1,06,000"
52,General Electric,"$76,555","$1,04,231","1,72,000"
53,Albertsons,"$71,887","$11,132","1,95,750"
54,MetLife,"$69,898","$44,867","45,000"
55,Goldman Sachs Group,"$68,711","$1,13,964","48,500"
56,Sysco,"$68,636","$39,202","70,510"
57,Raytheon Technologies,"$67,074","$1,43,292","1,82,000"
58,Boeing,"$66,608","$1,27,283","1,56,000"
59,StoneX Group,"$66,036","$2,138","3,615"
60,Lockheed Martin,"$65,984","$1,20,319","1,16,000"
61,Morgan Stanley,"$65,936","$1,47,674","82,427"
62,Intel,"$63,054","$1,36,268","1,31,900"
63,HP,"$62,983","$28,919","58,000"
64,TD Synnex,"$62,344","$9,061","28,500"
65,IBM,"$60,530","$1,18,913","3,03,100"
66,HCA Healthcare,"$60,233","$73,107","2,50,500"
67,Prudential Financial,"$60,050","$30,363","39,583"
68,Caterpillar,"$59,427","$1,18,161","1,09,100"
69,Merck,"$59,283","$2,70,081","68,000"
70,World Kinect,"$59,043","$1,585","5,214"
71,New York Life Insurance,"$58,445",-,"15,050"
72,Enterprise Products Partners,"$58,186","$56,224","7,300"
73,AbbVie,"$58,054","$2,81,151","50,000"
